Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Order Item ID
111-7513259-0469863	31-May-2026	05-Jun-2026	Approved	DT7tbTlPRRMA	 	AmazonPrePaidLabel	7.78	USD	UPS	1ZR096K99059000366	Seller	N	N	B00CD1PTF0	XT-4F5Q-ILMH	Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	159.55	1	 	 	 	 	 	 	161166161206681
111-0049912-7663455	26-May-2026	04-Jun-2026	Approved	DBKdk3lDRRMA	 	AmazonPrePaidLabel	5.97	USD	USPS	9302010623390249262522	Customer	N	N	B0CVR4HCTS	PH-D5LD-QD0F	USAV Wall Mount Brackets for Bose Cube Speaker - White Pair	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	08-Jun-2026	22.60	1	 	 	 	 	 	16.63	160817994601361
111-1030141-0373015	22-May-2026	02-Jun-2026	Approved	DFHVkqlnRRMA	 	AmazonPrePaidLabel	5.72	USD	USPS	9302010623390248932839	Seller	N	N	B0FP3SC5HL	0C-8YG4-NGMA	USAV Solutions Update Disk Copy for Bose Wave Multi CD Changer	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	08-Jun-2026	23.65	1	 	 	 	 	 	23.65	160572497289081
112-5759805-9235416	09-May-2026	02-Jun-2026	Approved	D5qHkKlFRRMA	 	AmazonPrePaidLabel	11.40	USD	UPS	1ZR096K99056935719	Seller	N	N	B000069E1T	YU-I5EM-J9J5	Bose® UFS-20 Universal floorstands (Pair) – White	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	168.40	1	 	 	 	 	 	 	159525193065881
113-2761996-9839428	25-May-2026	01-Jun-2026	Approved	Dr8kN1lYRRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390248571977	Customer	N	N	B0F3G6J45B	KU-H5F6-EH01	Replacement Remote Control Model RC18T1-27 for Bose for Lifestyle 18, 28 Series III, Lifestyle AV18	1	CR-NOT_COMPATIBLE	Y	C-Returns	StandardRefund	 	08-Jun-2026	130.02	1	 	 	 	 	 	94.86	160726942409921
111-9264873-1557057	24-May-2026	01-Jun-2026	Approved	DYt7NqlvRRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390248509604	Customer	N	N	B011I7Z4BI	YR-44E5-8HTH	New OEM Original RC38T1-27 Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48	1	CR-NOT_COMPATIBLE	Y	C-Returns	StandardRefund	 	10-Jun-2026	204.45	1	 	 	 	 	 	155.58	160663858811001
113-6221065-4781067	20-May-2026	31-May-2026	Approved	DsR1Ngl9RRMA	 	AmazonPrePaidLabel	9.32	USD	UPS	1ZR096K99055955664	Seller	N	N	B076LFVWFT	Q6-IJRB-GWK9	Bose SoundTouch 10 Wi-Fi Speakers 2-Pack - Black	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	04-Jun-2026	1268.29	3	 	 	 	 	 	332.93	160462922047801
112-0409708-2873829	22-May-2026	31-May-2026	Approved	DZycRBlDRRMA	 	AmazonPrePaidLabel	6.90	USD	UPS	1ZR096K99055724314	Seller	N	N	B01HETFQKS	DX-KJIT-44NY	Bose SoundLink Color II: Portable Bluetooth, Wireless Speaker with Microphone- Soft Black	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	05-Jun-2026	147.88	1	 	 	 	 	 	120.30	160540220311881
112-0409708-2873829	22-May-2026	31-May-2026	Approved	D7ylRClwRRMA	 	AmazonPrePaidLabel	6.90	USD	UPS	1ZR096K99055721344	Seller	N	N	B01HETFQKS	DX-KJIT-44NY	Bose SoundLink Color II: Portable Bluetooth, Wireless Speaker with Microphone- Soft Black	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	147.88	1	 	 	 	 	 	 	160540220311881
111-2457821-0715451	27-May-2026	30-May-2026	Approved	DpthRMlDRRMA	 	AmazonPrePaidLabel	6.10	USD	USPS	9302010623390248068934	Seller	N	N	B0FYRJQK7N	L4-PLVE-I117	40FT White Speaker Cable for Bose Cube Speaker Acoustimass Lifestyle - Single	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	10-Jun-2026	50.37	2	 	 	 	 	 	25.18	160934848283961
114-0212019-5608242	18-May-2026	28-May-2026	Approved	DBbyhGYpRRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390247580116	Seller	N	N	B0F3FVT2M4	GV-89J4-JK6R	Bose Remote Control, Replacement for 321 Series II III and GS Series II III Home Entertainment Systems, Black	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	12-Jun-2026	88.79	1	 	 	 	 	 	67.57	160238591363721
114-5435923-9716258	13-May-2026	27-May-2026	Approved	DtsWhcYjRRMA	 	AmazonPrePaidLabel	5.97	USD	USPS	9302010623390247413612	Seller	N	N	B0FP3SC5HL	0C-8YG4-NGMA	USAV Solutions Update Disk Copy for Bose Wave Multi CD Changer	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	22.88	1	 	 	 	 	 	 	159830958933241
112-7534616-8579452	20-May-2026	27-May-2026	Approved	DprChwYdRRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390247378393	Seller	N	N	B011I7Z4BI	YR-44E5-8HTH	New OEM Original RC38T1-27 Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	02-Jun-2026	204.83	1	 	 	 	 	 	171.12	160442679629721
112-0629235-9751464	14-May-2026	22-May-2026	Approved	Dk78ZyYxRRMA	 	AmazonPrePaidLabel	6.20	USD	UPS	1ZR096K99051220071	Customer	N	N	B0GVLLJKMS	HY-BIWO-NIHJ	USAV Solutions Magnetic Portable Bluetooth Speaker, True Wireless Stereo, IPX6 Water Protection, Compatible with iPhone 17/16/15/14	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	20.11	1	 	 	 	 	 	 	159876547681401
