Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Location ID,Location Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
234,,234,5623409000002017024,2026-03-18,goodwillvsb,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,567.900,Goods In Transit,,5623409000002017033,2026-03-18,04-14392-08669,567.900,Paid,0.000
235,,235,5623409000002022190,2026-02-23,Alibaba,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,318.950,Goods In Transit,,5623409000002022199,2026-02-23,292898526001021606,318.950,Paid,0.000
236,,236,5623409000002022300,2026-03-24,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,12.370,Goods In Transit,,5623409000002022309,2026-03-24,61395833,12.370,Paid,0.000
239,,239,5623409000002022734,2026-03-20,becar_8506,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,75.930,Goods In Transit,,5623409000002022743,2026-03-20,24-14385-47791,75.930,Paid,0.000
241,,241,5623409000002027092,2026-03-10,Tek Star (SN Recorded),5623409000000090078,Head Office,Cash,,1.000000000000,USD,587.900,Goods In Transit,,5623409000002027101,2026-03-10,113-4897166-4684240,587.900,Paid,0.000
242,,242,5623409000002038154,2026-03-27,Goodwill Keystone Area - Harrisburg,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,28.010,Goods In Transit,,5623409000002038163,2026-03-27,61476680,28.010,Paid,0.000
243,,243,5623409000002038270,2026-03-11,jdmarkuson,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,65.550,Goods In Transit,,5623409000002038279,2026-03-11,22-14331-84445,65.550,Paid,0.000
244,,244,5623409000002038487,2026-03-23,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,35.780,Goods In Transit,,5623409000002038496,2026-03-23,61373583,35.780,Paid,0.000
245,,245,5623409000002038604,2026-03-06,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,25.220,Goods In Transit,,5623409000002038613,2026-03-06,61013028,25.220,Paid,0.000
246,,246,5623409000002038714,2026-03-05,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,23.830,Goods In Transit,,5623409000002038723,2026-03-05,60993549,23.830,Paid,0.000
247,,247,5623409000002038824,2026-03-04,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,55.170,Goods In Transit,,5623409000002038833,2026-03-04,60967958,55.170,Paid,0.000
