po_number,po_date,po_source,vendor_name,po_zoho_id,db_po_total,zoho_po_total,shipping_amount,tax_amount,handling_amount,total_charges,bill_count,bill_id,bill_number,bill_status,bill_subtotal,bill_adjustment,bill_adjustment_desc,bill_total,total_diff,classification,notes
60410997,2026-02-08,UNKNOWN,Goodwill,5623409000001430012,43.05,43.05,0.00,0.00,0.00,0.00,1,5623409000002397869,60410997,overdue,29.99,0.00,,29.99,-13.06,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 13.06 (partial receive/billing or vendor credit)
60410846,2026-02-08,UNKNOWN,Goodwill,5623409000001422994,85.55,85.55,0.00,0.00,0.00,0.00,1,5623409000002402105,60410846,overdue,61.00,0.00,,61.00,-24.55,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 24.55 (partial receive/billing or vendor credit)
60410699,2026-02-08,UNKNOWN,Goodwill,5623409000001422951,87.48,87.48,0.00,0.00,0.00,0.00,1,5623409000002399804,60410699,overdue,55.00,0.00,,55.00,-32.48,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 32.48 (partial receive/billing or vendor credit)
27-14179-96874,2026-02-07,UNKNOWN,chaneyspp,5623409000001422162,23.85,23.85,0.00,0.00,0.00,0.00,1,5623409000002399712,27-14179-96874,overdue,14.00,0.00,,14.00,-9.85,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 9.85 (partial receive/billing or vendor credit)
22-14185-92753,2026-02-06,UNKNOWN,katiep1149,5623409000001412046,84.29,84.29,0.00,0.00,0.00,0.00,1,5623409000002397708,22-14185-92753,overdue,73.00,0.00,,73.00,-11.29,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 11.29 (partial receive/billing or vendor credit)
60370093,2026-02-05,UNKNOWN,Goodwill,5623409000001398731,79.13,79.13,0.00,0.00,0.00,0.00,1,5623409000002400473,60370093,overdue,34.00,0.00,,34.00,-45.13,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 45.13 (partial receive/billing or vendor credit)
60370082,2026-02-05,UNKNOWN,Goodwill,5623409000001398717,25.32,25.32,0.00,0.00,0.00,0.00,1,5623409000002397619,60370082,overdue,15.00,0.00,,15.00,-10.32,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 10.32 (partial receive/billing or vendor credit)
60370022,2026-02-05,UNKNOWN,Goodwill,5623409000001398703,72.99,72.99,0.00,0.00,0.00,0.00,1,5623409000002399538,60370022,overdue,34.55,0.00,,34.55,-38.44,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 38.44 (partial receive/billing or vendor credit)
60370010,2026-02-05,UNKNOWN,Goodwill,5623409000001398679,32.42,32.42,0.00,0.00,0.00,0.00,1,5623409000002400518,60370010,overdue,14.99,0.00,,14.99,-17.43,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 17.43 (partial receive/billing or vendor credit)
60365215,2026-02-05,UNKNOWN,Goodwill,5623409000001398663,533.24,533.24,0.00,0.00,0.00,0.00,1,5623409000002396857,60365215,overdue,492.00,0.00,,492.00,-41.24,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 41.24 (partial receive/billing or vendor credit)
60365128,2026-02-05,UNKNOWN,Goodwill,5623409000001398647,213.48,213.48,0.00,0.00,0.00,0.00,1,5623409000002398869,60365128,overdue,158.00,0.00,,158.00,-55.48,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 55.48 (partial receive/billing or vendor credit)
20-14185-76523,2026-02-06,UNKNOWN,mykbaut0,5623409000001398590,69.98,69.98,0.00,0.00,0.00,0.00,1,5623409000002399674,20-14185-76523,overdue,39.99,0.00,,39.99,-29.99,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 29.99 (partial receive/billing or vendor credit)
60359739,2026-02-05,UNKNOWN,Goodwill of Orange County,5623409000001398370,14.99,14.99,0.00,0.00,0.00,0.00,1,5623409000002422321,60359739,overdue,9.99,0.00,,9.99,-5.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 5.00 (partial receive/billing or vendor credit)
22-14180-43871,2026-02-05,UNKNOWN,that_guy_11,5623409000001400075,77.93,77.93,0.00,0.00,0.00,0.00,1,5623409000002398906,22-14180-43871,overdue,69.99,0.00,,69.99,-7.94,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 7.94 (partial receive/billing or vendor credit)
60346729,2026-02-04,UNKNOWN,Goodwill,5623409000001396901,58.71,58.71,0.00,0.00,0.00,0.00,1,5623409000002396764,60346729,overdue,44.61,0.00,,44.61,-14.10,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 14.10 (partial receive/billing or vendor credit)
60346668,2026-02-04,UNKNOWN,Goodwill,5623409000001396887,28.40,28.40,0.00,0.00,0.00,0.00,1,5623409000002401040,60346668,overdue,9.99,0.00,,9.99,-18.41,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 18.41 (partial receive/billing or vendor credit)
60346647,2026-02-04,UNKNOWN,Goodwill,5623409000001396852,331.35,331.35,0.00,0.00,0.00,0.00,1,5623409000002401059,60346647,overdue,281.00,0.00,,281.00,-50.35,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 50.35 (partial receive/billing or vendor credit)
01-14209-41015,2026-02-05,UNKNOWN,sommouang-0,5623409000001396805,68.85,68.85,0.00,0.00,0.00,0.00,1,5623409000002399624,01-14209-41015,overdue,60.00,0.00,,60.00,-8.85,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 8.85 (partial receive/billing or vendor credit)
S216079,2026-02-04,UNKNOWN,"Trans-Consolidated Distributors, Inc.",5623409000001396409,739.52,739.52,0.00,0.00,0.00,0.00,1,5623409000002401078,S216079,overdue,677.96,0.00,,677.96,-61.56,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 61.56 (partial receive/billing or vendor credit)
25-14173-35400,2026-02-04,UNKNOWN,costap-74,5623409000001396289,78.25,78.25,0.00,0.00,0.00,0.00,1,5623409000002401103,25-14173-35400,overdue,50.00,0.00,,50.00,-28.25,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 28.25 (partial receive/billing or vendor credit)
25-14172-68493,2026-02-04,UNKNOWN,babyflipss,5623409000001396082,1110.14,1110.14,0.00,0.00,0.00,0.00,1,5623409000002400442,25-14172-68493,overdue,950.00,0.00,,950.00,-160.14,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 160.14 (partial receive/billing or vendor credit)
17-14183-67607,2026-02-04,UNKNOWN,gargr6463,5623409000001396032,69.04,69.04,0.00,0.00,0.00,0.00,1,5623409000002397561,17-14183-67607,overdue,67.99,0.00,,67.99,-1.05,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 1.05 (partial receive/billing or vendor credit)
60322735,2026-02-03,UNKNOWN,Goodwill,5623409000001390961,762.08,762.08,0.00,0.00,0.00,0.00,1,5623409000002398629,60322735,overdue,667.00,0.00,,667.00,-95.08,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 95.08 (partial receive/billing or vendor credit)
60323508,2026-02-03,UNKNOWN,Goodwill,5623409000001390935,116.29,116.29,0.00,0.00,0.00,0.00,1,5623409000002396621,60323508,overdue,99.00,0.00,,99.00,-17.29,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 17.29 (partial receive/billing or vendor credit)
60316610,2026-02-03,UNKNOWN,Goodwill,5623409000001390369,221.25,221.25,0.00,0.00,0.00,0.00,1,5623409000002396640,60316610,overdue,182.53,0.00,,182.53,-38.72,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 38.72 (partial receive/billing or vendor credit)
m67654645577,2026-02-03,UNKNOWN,MERCARI,5623409000001382394,65.54,65.54,0.00,0.00,0.00,0.00,1,5623409000002396659,m67654645577,overdue,48.49,0.00,,48.49,-17.05,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 17.05 (partial receive/billing or vendor credit)
05-14196-21022,2026-02-03,UNKNOWN,evalueexpo,5623409000001382321,63.95,63.95,0.00,0.00,0.00,0.00,1,5623409000002399407,05-14196-21022,overdue,71.95,0.00,,71.95,8.00,OVERBILLED_LINE_DIFF,Bill total exceeds PO total by 8.00 with 0 bill adjustment (check line item quantities/rates)
07-14192-99904,2026-02-03,UNKNOWN,ebattles,5623409000001382252,61.23,61.23,0.00,0.00,0.00,0.00,1,5623409000002396693,07-14192-99904,overdue,40.00,0.00,,40.00,-21.23,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 21.23 (partial receive/billing or vendor credit)
07-14192-99106,2026-02-03,UNKNOWN,jem_pickers,5623409000001382181,57.05,57.05,0.00,0.00,0.00,0.00,1,5623409000002397509,07-14192-99106,overdue,47.45,0.00,,47.45,-9.60,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 9.60 (partial receive/billing or vendor credit)
27-14164-65158,2026-02-03,UNKNOWN,westend-treasures,5623409000001382017,160.00,160.00,0.00,0.00,0.00,0.00,1,5623409000002396720,27-14164-65158,overdue,140.00,0.00,,140.00,-20.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 20.00 (partial receive/billing or vendor credit)
60301035,2026-02-03,UNKNOWN,Goodwill,5623409000001370212,56.85,56.85,0.00,0.00,0.00,0.00,1,5623409000002400394,60301035,overdue,36.00,0.00,,36.00,-20.85,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 20.85 (partial receive/billing or vendor credit)
60295685,2026-02-02,UNKNOWN,Goodwill,5623409000001362074,184.90,184.90,0.00,0.00,0.00,0.00,1,5623409000002398331,60295685,overdue,137.00,0.00,,137.00,-47.90,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 47.90 (partial receive/billing or vendor credit)
60293991,2026-02-02,UNKNOWN,Goodwill,5623409000001362036,226.11,226.11,0.00,0.00,0.00,0.00,1,5623409000002398409,60293991,overdue,157.00,0.00,,157.00,-69.11,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 69.11 (partial receive/billing or vendor credit)
60293855,2026-02-02,UNKNOWN,Goodwill,5623409000001362018,160.68,160.68,0.00,0.00,0.00,0.00,1,5623409000002398486,60293855,overdue,130.00,0.00,,130.00,-30.68,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 30.68 (partial receive/billing or vendor credit)
60293377,2026-02-02,UNKNOWN,Goodwill,5623409000001355000,119.80,119.80,0.00,0.00,0.00,0.00,1,5623409000002395721,60293377,overdue,90.00,0.00,,90.00,-29.80,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 29.80 (partial receive/billing or vendor credit)
60293255,2026-02-02,UNKNOWN,Goodwill,5623409000001354973,124.02,124.02,0.00,0.00,0.00,0.00,1,5623409000002398517,60293255,overdue,101.00,0.00,,101.00,-23.02,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 23.02 (partial receive/billing or vendor credit)
25-14164-43759,2026-02-02,UNKNOWN,backontracktrains,5623409000001354872,80.16,80.16,0.00,0.00,0.00,0.00,1,5623409000002396389,25-14164-43759,overdue,56.00,0.00,,56.00,-24.16,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 24.16 (partial receive/billing or vendor credit)
09-14186-43097,2026-02-02,UNKNOWN,eddybeto,5623409000001354715,61.35,61.35,0.00,0.00,0.00,0.00,1,5623409000002397329,09-14186-43097,overdue,38.00,0.00,,38.00,-23.35,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 23.35 (partial receive/billing or vendor credit)
11-14182-88020,2026-02-02,UNKNOWN,details_and_more,5623409000001354524,39.25,39.25,0.00,0.00,0.00,0.00,1,5623409000002398557,11-14182-88020,overdue,33.75,0.00,,33.75,-5.50,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 5.50 (partial receive/billing or vendor credit)
22-14167-28874,2026-02-02,UNKNOWN,thinkpan,5623409000001354455,62.34,62.34,0.00,0.00,0.00,0.00,1,5623409000002397352,22-14167-28874,overdue,70.14,0.00,,70.14,7.80,OVERBILLED_LINE_DIFF,Bill total exceeds PO total by 7.80 with 0 bill adjustment (check line item quantities/rates)
15-14176-85142,2026-02-02,UNKNOWN,themetropopshop,5623409000001354376,85.26,85.26,0.00,0.00,0.00,0.00,1,5623409000002399268,15-14176-85142,overdue,76.00,0.00,,76.00,-9.26,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 9.26 (partial receive/billing or vendor credit)
27-14159-83966,2026-02-02,UNKNOWN,slickpickin77,5623409000001354296,54.91,54.91,0.00,0.00,0.00,0.00,1,5623409000002398577,27-14159-83966,overdue,39.96,0.00,,39.96,-14.95,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 14.95 (partial receive/billing or vendor credit)
04-14192-33271,2026-02-02,UNKNOWN,electrotes01,5623409000001354227,60.00,60.00,0.00,0.00,0.00,0.00,1,5623409000002396497,04-14192-33271,overdue,40.00,0.00,,40.00,-20.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 20.00 (partial receive/billing or vendor credit)
01-14196-99578,2026-02-02,UNKNOWN,ericanddanielle,5623409000001354069,405.00,405.00,0.00,0.00,0.00,0.00,1,5623409000002397392,01-14196-99578,overdue,375.00,0.00,,375.00,-30.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 30.00 (partial receive/billing or vendor credit)
60280679,2026-02-02,UNKNOWN,Goodwill,5623409000001360211,42.60,42.60,0.00,0.00,0.00,0.00,1,5623409000002398604,60280679,overdue,14.98,0.00,,14.98,-27.62,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 27.62 (partial receive/billing or vendor credit)
60280696,2026-02-02,UNKNOWN,Goodwill,5623409000001360182,42.60,42.60,0.00,0.00,0.00,0.00,1,5623409000002400235,60280696,overdue,14.98,0.00,,14.98,-27.62,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 27.62 (partial receive/billing or vendor credit)
60280601,2026-02-02,UNKNOWN,Goodwill,5623409000001360137,39.37,39.37,0.00,0.00,0.00,0.00,1,5623409000002395826,60280601,overdue,23.22,0.00,,23.22,-16.15,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 16.15 (partial receive/billing or vendor credit)
8208216819568387,2026-02-01,UNKNOWN,Wisdom Interest Store,5623409000001360058,4.54,4.54,0.00,0.00,0.00,0.00,1,5623409000002399183,8208216819568387,overdue,4.19,0.00,,4.19,-0.35,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 0.35 (partial receive/billing or vendor credit)
8208216819548387,2026-02-01,UNKNOWN,Shop1103839682 Store,5623409000001355992,7.48,7.48,0.00,0.00,0.00,0.00,1,5623409000002395673,8208216819548387,overdue,6.79,0.00,,6.79,-0.69,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 0.69 (partial receive/billing or vendor credit)
8208216819508387,2026-02-01,UNKNOWN,YISONIC Store,5623409000001355926,8.23,8.23,0.00,0.00,0.00,0.00,1,5623409000002395641,8208216819508387,overdue,7.59,0.00,,7.59,-0.64,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 0.64 (partial receive/billing or vendor credit)
8208216819528387,2026-02-01,UNKNOWN,Global-Health-Care Store,5623409000001355860,7.44,7.44,0.00,0.00,0.00,0.00,1,5623409000002400048,8208216819528387,overdue,6.78,0.00,,6.78,-0.66,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 0.66 (partial receive/billing or vendor credit)
10-14181-68726,2026-02-02,UNKNOWN,kicking_rad,5623409000001355655,371.78,371.78,0.00,0.00,0.00,0.00,1,5623409000002396558,10-14181-68726,overdue,349.95,0.00,,349.95,-21.83,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 21.83 (partial receive/billing or vendor credit)
13-14175-98471,2026-02-01,UNKNOWN,declanforrester,5623409000001355572,320.00,320.00,0.00,0.00,0.00,0.00,1,5623409000002398206,13-14175-98471,overdue,257.32,0.00,,257.32,-62.68,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 62.68 (partial receive/billing or vendor credit)
24-14174-33280,2026-02-01,UNKNOWN,davtur_69,5623409000001355434,165.53,165.53,0.00,0.00,0.00,0.00,1,5623409000002399111,24-14174-33280,overdue,149.00,0.00,,149.00,-16.53,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 16.53 (partial receive/billing or vendor credit)
8208216819488387,2026-02-01,UNKNOWN,Futo Tech Store,5623409000001355267,7.95,7.95,0.00,0.00,0.00,0.00,1,5623409000002400014,8208216819488387,overdue,7.19,0.00,,7.19,-0.76,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 0.76 (partial receive/billing or vendor credit)
08-14181-10792,2026-02-01,UNKNOWN,casper9253,5623409000001355185,43.84,43.84,0.00,0.00,0.00,0.00,1,5623409000002395547,08-14181-10792,overdue,39.87,0.00,,39.87,-3.97,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 3.97 (partial receive/billing or vendor credit)
24-14173-34897,2026-02-01,UNKNOWN,desert_resale,5623409000001355116,71.95,71.95,0.00,0.00,0.00,0.00,1,5623409000002397144,24-14173-34897,overdue,64.95,0.00,,64.95,-7.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 7.00 (partial receive/billing or vendor credit)
03-14188-02254,2026-02-01,UNKNOWN,sandy11230,5623409000001355036,138.31,138.31,0.00,0.00,0.00,0.00,1,5623409000002393871,03-14188-02254,overdue,120.00,0.00,,120.00,-18.31,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 18.31 (partial receive/billing or vendor credit)
TK8191,2026-02-01,UNKNOWN,Douglas Morgan,5623409000001350636,0.00,0.00,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
22-14159-28998,2026-01-31,UNKNOWN,jamtennis2014,5623409000001350567,120.00,120.00,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
01-14189-11072,2026-01-31,UNKNOWN,sroll74,5623409000001350466,545.00,545.00,0.00,0.00,0.00,0.00,1,5623409000002391979,01-14189-11072,overdue,450.00,0.00,,450.00,-95.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 95.00 (partial receive/billing or vendor credit)
17-14164-83655,2026-01-31,UNKNOWN,ranger180c,5623409000001350279,563.20,563.20,0.00,0.00,0.00,0.00,1,5623409000002398008,17-14164-83655,overdue,549.95,0.00,,549.95,-13.25,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 13.25 (partial receive/billing or vendor credit)
60263903,2026-02-01,UNKNOWN,Goodwill,5623409000001347923,84.04,84.04,0.00,0.00,0.00,0.00,1,5623409000002398252,60263903,overdue,77.99,0.00,,77.99,-6.05,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 6.05 (partial receive/billing or vendor credit)
60263897,2026-02-01,UNKNOWN,Goodwill,5623409000001347909,47.69,47.69,0.00,0.00,0.00,0.00,1,5623409000002393902,60263897,overdue,31.00,0.00,,31.00,-16.69,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 16.69 (partial receive/billing or vendor credit)
60280632,2026-02-02,UNKNOWN,Goodwill of Orange County,5623409000001347895,93.00,93.00,0.00,0.00,0.00,0.00,1,5623409000002422290,60280632,overdue,88.00,0.00,,88.00,-5.00,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 5.00 (partial receive/billing or vendor credit)
60263814,2026-02-01,UNKNOWN,Goodwill,5623409000001347877,360.97,360.97,0.00,0.00,0.00,0.00,1,5623409000002396261,60263814,overdue,335.00,0.00,,335.00,-25.97,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 25.97 (partial receive/billing or vendor credit)
60263807,2026-02-01,UNKNOWN,Goodwill,5623409000001347476,35.78,35.78,0.00,0.00,0.00,0.00,1,5623409000002393946,60263807,overdue,19.99,0.00,,19.99,-15.79,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 15.79 (partial receive/billing or vendor credit)
60263802,2026-02-01,UNKNOWN,Goodwill,5623409000001347462,50.07,50.07,0.00,0.00,0.00,0.00,1,5623409000002398279,60263802,overdue,19.99,0.00,,19.99,-30.08,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 30.08 (partial receive/billing or vendor credit)
60263797,2026-02-01,UNKNOWN,Goodwill,5623409000001347448,50.07,50.07,0.00,0.00,0.00,0.00,1,5623409000002393969,60263797,overdue,19.99,0.00,,19.99,-30.08,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 30.08 (partial receive/billing or vendor credit)
60263789,2026-02-01,UNKNOWN,Goodwill,5623409000001347434,28.96,28.96,0.00,0.00,0.00,0.00,1,5623409000002397198,60263789,overdue,12.12,0.00,,12.12,-16.84,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 16.84 (partial receive/billing or vendor credit)
60254610,2026-01-31,UNKNOWN,Goodwill of Orange County,5623409000001347379,15.75,15.75,0.00,0.00,0.00,0.00,1,5623409000002416537,60254610,overdue,13.25,0.00,,13.25,-2.50,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 2.50 (partial receive/billing or vendor credit)
60290793,2026-02-02,UNKNOWN,Goodwill,5623409000001343791,28.40,28.40,0.00,0.00,0.00,0.00,1,5623409000002399352,60290793,overdue,9.99,0.00,,9.99,-18.41,UNDERBILLED_PARTIAL,Bill total is lower than PO total by 18.41 (partial receive/billing or vendor credit)
