Item Name,SKU,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Warehouse Name
Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,00005-P-3-WH,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets,00005-P-3,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White New,00005-P-3-WH-N,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White New,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - Swivel Wall Ceiling Bracket Pair New,00005-P-4-N,Bose 151 Environmental Speaker Pair - Swivel Wall Ceiling Bracket Pair New,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - Swivel Wall Ceiling Bracket Pair New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - Wall Brackets,00005-P-5,Bose 151 Environmental Speaker Pair - Wall Brackets,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - Wall Brackets,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - Wall Ceiling Bracket Pair,00005-P-6,Bose 151 Environmental Speaker Pair - Wall Ceiling Bracket Pair,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - Wall Ceiling Bracket Pair,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 201-V Stereo Loudspeakers,00006,Bose 201-V Stereo Loudspeakers,,False,,,,,,,goods,Sales,pcs,Bose 201-V Stereo Loudspeakers,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 201-V Stereo Loudspeakers Black,00006-BK,Bose 201-V Stereo Loudspeakers Black,,False,,,,,,,goods,Sales,pcs,Bose 201-V Stereo Loudspeakers Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 201-V Stereo Loudspeakers Cherry,00006-CH,Bose 201-V Stereo Loudspeakers Cherry,,False,,,,,,,goods,Sales,pcs,Bose 201-V Stereo Loudspeakers Cherry,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161,00007,Bose 151 SE or 161,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Mounting Bracket White,00007-P-1-WH,Bose 151 SE or 161 - Mounting Bracket White,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Mounting Bracket White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Mounting Bracket Black New,00007-P-1-BK-N,Bose 151 SE or 161 - Mounting Bracket Black New,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Mounting Bracket Black New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Mounting Bracket Black,00007-P-1-BK,Bose 151 SE or 161 - Mounting Bracket Black,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Mounting Bracket Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Machine Screws,00007-P-2,Bose 151 SE or 161 - Machine Screws,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Machine Screws,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Wall Mount Bracket Black,00007-P-3-BK,Bose 151 SE or 161 - Wall Mount Bracket Black,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Wall Mount Bracket Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 SE or 161 - Wall Mount Bracket White,00007-P-3-WH,Bose 151 SE or 161 - Wall Mount Bracket White,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Wall Mount Bracket White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
