"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Apr 1, 2026 12:45:47 AM PDT",26031208751,FBA Inventory Fee,mudtzK2vDh,,FBA Removal Order: Return Fee,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.84,-0.84,Released,"Apr 1, 2026 12:45:47 AM PDT"
"Apr 1, 2026 1:41:21 AM PDT",26031208751,Order,112-2090849-5306649,149,Replacement Bose Remote Control 321 GSX III II,1,amazon.com,Standard Orders,Amazon,KINGWOOD,TX,77339,MarketplaceFacilitator,118,9.74,0,0,0,0,0,0,0,0,-9.74,-16.44,-4.86,0,0,96.7,Released,"Apr 1, 2026 1:41:21 AM PDT"
"Apr 1, 2026 2:10:36 AM PDT",26031208751,Order,114-8297876-6784225,04757-Bk-2,"2 Pack 251 Outdoor Environmental Speakers (Pair), Black with H&A 16 AWG Speaker Wire 100'",1,amazon.com,Standard Orders,Seller,HOUSTON,TX,77041,MarketplaceFacilitator,"1,398.00",115.34,4.99,0.41,0,0,0,0,0,0,-115.75,-112.24,0,0,0,"1,290.75",Released,"Apr 1, 2026 2:10:36 AM PDT"
"Apr 1, 2026 2:11:43 AM PDT",26031208751,Order,112-1987694-0457811,65-F993-BGM2,Bose SoundTouch Wireless Adapter for CineMate Systems,1,amazon.com,Standard Orders,Seller,HIALEAH,FL,33010,MarketplaceFacilitator,116.88,8.18,0,0,0,0,0,0,0,0,-8.18,-16.35,0,-0.1,0,100.43,Released,"Apr 1, 2026 2:11:43 AM PDT"
"Apr 1, 2026 2:11:48 AM PDT",26031208751,Order,113-9106920-7141017,0D-9WFS-J4U1,Replacement Bose Single Cube Speaker for Bose Lifestyle Acoustimass Home Theater Speaker System,4,amazon.com,Standard Orders,Seller,LONG ISLAND CITY,NY,11104,MarketplaceFacilitator,312,27.68,0,0,0,0,0,0,0,0,-27.68,-24.96,0,0,0,287.04,Released,"Apr 1, 2026 2:11:48 AM PDT"
"Apr 1, 2026 2:12:09 AM PDT",26031208751,Shipping Services,112-1823802-7804244,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.11,-19.11,Released,"Apr 1, 2026 2:12:09 AM PDT"
"Apr 1, 2026 2:12:09 AM PDT",26031208751,Shipping Services,113-9106920-7141017,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.72,-12.72,Released,"Apr 1, 2026 2:12:09 AM PDT"
"Apr 1, 2026 2:12:09 AM PDT",26031208751,Shipping Services,112-1987694-0457811,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.48,-7.48,Released,"Apr 1, 2026 2:12:09 AM PDT"
"Apr 1, 2026 2:12:09 AM PDT",26031208751,Shipping Services,112-0435125-5805859,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.07,-21.07,Released,"Apr 1, 2026 2:12:09 AM PDT"
"Apr 1, 2026 2:12:32 AM PDT",26031208751,Order,112-0435125-5805859,3C-V5QW-7KM0,"5.1 Surround Sound Speaker System, Bose Home Theater Setup with 4 Satellite Speakers and Center Speaker, Black",1,amazon.com,Standard Orders,Seller,BRANCHVILLE,SC,29432,MarketplaceFacilitator,186,13.02,21.49,1.5,0,0,0,0,0,0,-14.52,-16.6,0,0,0,190.89,Released,"Apr 1, 2026 2:12:32 AM PDT"
"Apr 1, 2026 2:12:37 AM PDT",26031208751,Order,112-1823802-7804244,04905-LN,"Bose Surround Speakers 700, White",1,amazon.com,Standard Orders,Seller,SARASOTA,FL,34234,MarketplaceFacilitator,688,48.16,36.44,0,0,0,0,0,0,0,-48.16,-57.96,0,0,0,666.48,Released,"Apr 1, 2026 2:12:37 AM PDT"
