Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
50,,50,5623409000001815246,2026-03-18,tech-world43228,Credit Card,,1.000000000000,USD,125.990,Petty Cash,,5623409000001815255,2026-03-18,10-14382-00811,125.990,Paid,0.000
51,,51,5623409000001815369,2026-03-16,2lose1,Cash,,1.000000000000,USD,424.700,Petty Cash,,5623409000001815378,2026-03-20,14-14367-16893,424.700,Paid,0.000
52,,52,5623409000001815464,2026-03-16,mevangelista6493,Credit Card,,1.000000000000,USD,79.990,Petty Cash,,5623409000001815473,2026-03-16,24-14368-70030,79.990,Paid,0.000
53,,53,5623409000001815547,2026-03-16,qmisterq,Credit Card,,1.000000000000,USD,52.510,Petty Cash,,5623409000001815556,2026-03-16,14-14368-43416,52.510,Paid,0.000
54,,54,5623409000001815638,2026-03-15,joesif,Credit Card,,1.000000000000,USD,80.000,Petty Cash,,5623409000001815647,2026-03-15,15-14363-85060,80.000,Paid,0.000
55,,55,5623409000001815751,2026-03-18,adre_4051,Cash,,1.000000000000,USD,84.000,Petty Cash,,5623409000001815760,2026-03-18,25-14360-62506,84.000,Paid,0.000
56,,56,5623409000001815864,2026-03-18,rentto-0,Credit Card,,1.000000000000,USD,258.000,Petty Cash,,5623409000001815873,2026-03-18,21-14366-23757,258.000,Paid,0.000
57,,57,5623409000001815972,2026-03-18,tech-world43228,Credit Card,,1.000000000000,USD,50.000,Petty Cash,,5623409000001815981,2026-03-18,02-14394-78963,50.000,Paid,0.000
58,,58,5623409000001824075,2026-03-18,tech-world43228,Credit Card,,1.000000000000,USD,58.000,Petty Cash,,5623409000001824084,2026-03-18,07-14387-42477,58.000,Paid,0.000
59,,59,5623409000001824170,2026-03-18,tech-world43228,Credit Card,,1.000000000000,USD,58.000,Petty Cash,,5623409000001824179,2026-03-18,10-14382-76415,58.000,Paid,0.000
60,,60,5623409000001824265,2026-03-18,tech-world43228,Credit Card,,1.000000000000,USD,50.000,Petty Cash,,5623409000001824274,2026-03-18,02-14394-80890,50.000,Paid,0.000
61,,61,5623409000001824376,2026-03-18,snappysales67,Credit Card,,1.000000000000,USD,68.580,Petty Cash,,5623409000001824385,2026-03-18,20-14368-65673,68.580,Paid,0.000
62,,62,5623409000001826076,2026-03-17,"Amazon.com Services, Inc",Credit Card,,1.000000000000,USD,58.360,Petty Cash,,5623409000001826085,2026-03-17,113-2908724-1694637,58.360,Paid,0.000
63,,63,5623409000001826352,2026-03-19,LCPU TAN,Cash,,1.000000000000,USD,2420.000,Petty Cash,,5623409000001826361,2026-03-19,NEW LCPU MAR 19,2420.000,Paid,0.000
64,,64,5623409000001829093,2026-03-21,goodwillvsb,Cash,,1.000000000000,USD,26.210,Petty Cash,,5623409000001829102,2026-03-18,13-14379-10152,26.210,Paid,0.000
65,,65,5623409000001829226,2026-03-18,goodwillvsb,Credit Card,,1.000000000000,USD,52.490,Petty Cash,,5623409000001829235,2026-03-18,17-14373-01038,52.490,Paid,0.000
66,,66,5623409000001829325,2026-03-18,goodwillvsb,Credit Card,,1.000000000000,USD,32.820,Petty Cash,,5623409000001829334,2026-03-18,01-14396-84978,32.820,Paid,0.000
67,,67,5623409000001829424,2026-03-18,goodwillvsb,Credit Card,,1.000000000000,USD,59.990,Petty Cash,,5623409000001829433,2026-03-18,14-14377-54447,59.990,Paid,0.000
68,,68,5623409000001829682,2026-03-18,goodwillvsb,Credit Card,,1.000000000000,USD,567.880,Petty Cash,,5623409000001829691,2026-03-18,04-14392-08669,567.880,Paid,0.000
69,,69,5623409000001829793,2026-03-21,michiganative,Cash,,1.000000000000,USD,207.850,Petty Cash,,5623409000001829802,2026-03-18,06-14389-45433,207.850,Paid,0.000
70,,70,5623409000001828525,2026-03-19,essentialsupply12,Credit Card,,1.000000000000,USD,67.440,Petty Cash,,5623409000001828534,2026-03-19,01-14400-14096,67.440,Paid,0.000
71,,71,5623409000001828642,2026-03-19,himax346,Credit Card,,1.000000000000,USD,84.920,Petty Cash,,5623409000001828651,2026-03-19,18-14374-98642,84.920,Paid,0.000
72,,72,5623409000001828755,2026-03-19,speedt_87,Credit Card,,1.000000000000,USD,74.190,Petty Cash,,5623409000001828764,2026-03-19,02-14398-36919,74.190,Paid,0.000
73,,73,5623409000001828882,2026-03-19,mojagu_56,Credit Card,,1.000000000000,USD,87.050,Petty Cash,,5623409000001828891,2026-03-19,27-14362-16764,87.050,Paid,0.000
74,,74,5623409000001828995,2026-03-19,larisa18,Credit Card,,1.000000000000,USD,82.450,Petty Cash,,5623409000001835004,2026-03-19,12-14384-10217,82.450,Paid,0.000
75,,75,5623409000001835108,2026-03-19,mickster62,Credit Card,,1.000000000000,USD,84.090,Petty Cash,,5623409000001835117,2026-03-19,13-14384-06740,84.090,Paid,0.000
76,,76,5623409000001831108,2026-03-18,5teeeve,Credit Card,,1.000000000000,USD,73.250,Petty Cash,,5623409000001831117,2026-03-18,18-14370-59292,73.250,Paid,0.000
77,,77,5623409000001829908,2026-03-17,"Goodwill Industries of Middle Tennessee, Inc.",Credit Card,,1.000000000000,USD,35.420,Petty Cash,,5623409000001829917,2026-03-17,61123192,35.420,Paid,0.000
