"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-06-12T01:39:46+00:00","111-6530798-6845807","21-1AH8-BB1I","B00006L7RV","X00390UUMR","Bose 301-V Stereo Loudspeakers (Pair) - Black","1","CVG2","DEFECTIVE","DAMAGED_BY_FC","Unit returned to inventory","LPNNA6G2XP4JY","The packaging was fine upon arrival. The covers for the speakers are broken and the speakers have some damage to them also."
"2026-06-12T00:58:53+00:00","114-7146626-5192258","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNO555317653",
"2026-06-11T20:39:31+00:00","111-0989436-8724263","01355-N","B0F3QG1GK4","X004N7FYO9","Replacement Bose AV 520 Control Console for Bose Cinemate 520/ Soundtouch 520","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO585198447",
"2026-06-11T19:29:22+00:00","114-6392401-1787444","NV-E7S6-TME8","B0F8KCZY2K","X004WRCHY5","Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO570346773",
"2026-06-11T19:29:22+00:00","114-6392401-1787444","NV-E7S6-TME8","B0F8KCZY2K","X004WRCHY5","Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System","1","IND8","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNO570346772","Not Compatible|Not compatible with amplifier"
"2026-06-11T01:41:44+00:00","114-4235393-5047452","3B-SK9L-KCVF","B01AWLPUAG","X0036X1R51","Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black","1","TUS1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNPMFR8275481",
"2026-06-10T23:34:49+00:00","114-0474841-5341864","XO-85M2-PWLI","B07RZVRMS8","X00272DHNH","USAV Wall Mount Brackets for White Bose 151 Speaker - Pair","1","TUS1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMGW3440000","Changed Mind|My needs changed"
"2026-06-10T03:25:21+00:00","111-9469872-2350624","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","IAH1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNGSAD7522705",
"2026-06-09T17:35:35+00:00","112-3974951-0976223","01726-N","B0FP4D8QMZ","X0051SP5D9","USAV Solutions Replacement Mounting Bracket for Bose 151 SE and 161 Speakers, Black, Plastic Wall Mount, Single Bracket with Mounting Hardware","1","CHA1","CUSTOMER_DAMAGED","DAMAGED_BY_FC","Unit returned to inventory","LPNNE6P2XNS4K",
"2026-06-08T22:48:17+00:00","111-6685953-3686626","CZ-G5NU-3JFT","B0C7FJZC73","X00466I2SH","USAV OEM Bluetooth Adapter for Bose Lifestyle | Bose 321","1","PHX6","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNO464473208",
"2026-06-08T17:50:59+00:00","111-1110105-2403465","FJ-YYXV-BKTN","B0BDTJNQ86","X003ELDZ3R","USAV Set of 5 Speaker Cable for Bose Lifestyle Acoustimass System - RCA to Bare Wire","1","SAV4","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory",,
"2026-06-08T16:46:30+00:00","111-2778743-9962653","00957-W","B0GP2TZP46","X0050L278X","USAV Solutions wall Mount Bracket Bose WB-50 Series II Slideconnect - White","1","CHA1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNE6DKWG885",
"2026-06-08T16:46:30+00:00","111-2778743-9962653","00957-W","B0GP2TZP46","X0050L278X","USAV Solutions wall Mount Bracket Bose WB-50 Series II Slideconnect - White","1","CHA1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNE67CHPM98",
"2026-06-08T14:52:03+00:00","113-1705760-5904268","R5-ED3Q-J0IS","B011IH685E","X003U4WRHD","Bose 731396-1100 SoundTouch 10 Wireless Speaker, Works with Alexa, Black","1","PGA1","DEFECTIVE","NOT_COMPATIBLE","Unit returned to inventory","LPNAC548033030","Not Compatible|Unable to connect to record player"
"2026-06-08T13:35:11+00:00","112-1518452-3798613","XQ-FIIT-24XA","B0C7FKCYK2","X0044C3SWD","USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P","1","EWR7","CUSTOMER_DAMAGED","DAMAGED_BY_FC","Unit returned to inventory","LPNRRJD9493196",
"2026-06-08T01:47:20+00:00","113-9391793-6977014","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO549795746",
"2026-06-07T21:06:05+00:00","113-2537173-3428255","01357-NF","B0D6LWQ74M","X004O7IZ8F","Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130","1","TEN1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPMGT8636588",
"2026-06-06T18:07:29+00:00","113-1201707-6853069","MP-T481-GF4C","B00CD1PTF0","X003B5E1UH","Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black","1","HOU3","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPMGU9335607",
"2026-06-06T14:09:40+00:00","112-6117728-7957044","R5-ED3Q-J0IS","B011IH685E","X003U4WRHD","Bose 731396-1100 SoundTouch 10 Wireless Speaker, Works with Alexa, Black","1","CHA1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNE6R4LKQDK",
"2026-06-06T07:17:44+00:00","111-0438077-3137844","00028-1","B001GN1IQU","X00512GR4L","Bose SoundDock Remote - Gray","1","IND8","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNO551411074","Couldn’t open back"
"2026-06-05T03:12:13+00:00","111-3828641-6611417","5A-VMJ9-F27Q","B00DF1VEF6","X004HS5TIP","Wave® Music System III - Limited-Edition Burgundy","1","MCI7","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNO491169909","It doesn’t work"
"2026-06-04T14:18:06+00:00","112-6597713-1368231","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","PGA1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNAC095211324","Tried to install one on speaker the plastic shaft when trying to tighten it down it was bending the shaft in. Would secure the speaker from falling off"
"2026-06-04T14:17:23+00:00","112-6597713-1368231","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","PGA1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNAC236711323",
"2026-06-04T14:07:37+00:00","112-6597713-1368231","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","PGA1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNAC559651428","Tried to install one on speaker the plastic shaft when trying to tighten it down it was bending the shaft in. Would secure the speaker from falling off"
"2026-06-04T08:12:26+00:00","114-6562505-3086616","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","IND8","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNO549757706",
"2026-06-04T02:18:42+00:00","111-5522829-8691403","X1-VNOP-K72A","B011IH6M50","X0048B1NYP","Bose 738031-1710 Wave SoundTouch Music System IV, Works with Alexa, Espresso Black","1","CVG2","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNA62FTD88Y","Changed Mind|Not as Expected|no bass or treble adj"
"2026-06-03T05:55:18+00:00","112-3278351-4256249","NA-SZ9C-0XMT","B0C79P9K65","X00512G511","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX2","CUSTOMER_DAMAGED","UNAUTHORIZED_PURCHASE","Unit returned to inventory","LPNGSAC9678310",
"2026-06-03T00:54:19+00:00","111-9054033-5965844","1O-XHCK-LBJ7","B00006I53A","X0034YQ8W9","Bose 161 Speaker System (Black) - Ideal for Stereo or Home Theater use","1","LEX2","DEFECTIVE","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNO556958307","Delivery Issue|Item was late|."
"2026-06-02T12:30:50+00:00","114-7792778-3351424","LV-OE1H-IRFS","B000HZDF8W","X002NZ3BE3","Bose Companion 2 Series II Multimedia Speaker System","1","IND8","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNO565538816","White color wire can&#39;t connect."
"2026-06-02T01:08:49+00:00","114-1880280-5615461","1O-XHCK-LBJ7","B00006I53A","X0034YQ8W9","Bose 161 Speaker System (Black) - Ideal for Stereo or Home Theater use","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNB6QQZGV3N",
"2026-05-30T08:34:37+00:00","112-7674388-2181023","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","IAH1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNAC907019731",
"2026-05-29T19:53:34+00:00","112-2656658-7356258","WZ-BX30-PNCN","B007ZCCRBG","X002YGI3OJ","Bose Wave® Music System III - Platinum White","1","TUS1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNPMFR0974497","Defective|I tried 3 different CD&#39;s and they play for about 30 seconds then stop. Starts again then stops"
"2026-05-28T15:08:45+00:00","112-9714480-9005814","01900-N","B0F6WHQJNX","X004UQ7XL5","Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black","1","IND8","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNO567913655",
"2026-05-28T12:50:11+00:00","113-1569686-9424269","00028-1","B001GN1IQU","X00512GR4L","Bose SoundDock Remote - Gray","1","IND8","DEFECTIVE","UNWANTED_ITEM","Unit returned to inventory","LPNO564762183","Changed Mind|My needs changed"
"2026-05-27T13:34:40+00:00","114-7728227-9246656","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","MEM3","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNC6KG2K81M",
"2026-05-27T00:08:45+00:00","114-1052085-0934633","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","EWR7","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRRJI7516271",
"2026-05-26T16:06:39+00:00","112-9746926-1856220","XQ-FIIT-24XA","B0C7FKCYK2","X0044C3SWD","USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P","1","LAS2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMGQ3142326",
"2026-05-26T07:21:43+00:00","113-6878288-0707408","NA-SZ9C-0XMT","B0C79P9K65","X00512G511","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNNE6J95F7CX",
"2026-05-26T04:51:46+00:00","113-1538229-7597067","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","MEM3","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNNE6MV79WX2",
"2026-05-24T18:56:21+00:00","114-4320201-3644250","01900-N","B0F6WHQJNX","X004UQ7XL5","Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black","1","IAH1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNAC883421172",
"2026-05-24T08:34:51+00:00","112-7370451-3325007","MP-T481-GF4C","B00CD1PTF0","X003B5E1UH","Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black","1","LAS2","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMFX4129273","Changed Mind|Not as Expected|I missed the information that this item was used; then when it arrived the box looked like it had been treated very roughly and I decided to not even open the box to check condition of speakers.  My mistake, but I was expecting new and instead I got used in a beat up box."
"2026-05-22T17:59:59+00:00","112-9912537-8092227","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","MEM3","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNB6FV66F2W",
"2026-05-22T17:49:37+00:00","111-4528952-6389023","EC-HMR0-MS5T","B00CD1PTF0","X003UCUNDP","Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black","1","LAS2","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMFY3029601","Changed Mind|Not as Expected|reviews not great for the price"
