Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
60123151,1/25/2026,253055184,Bose SoundDock Series III Digital Music System Speaker,Computers & Electronics > Home Electronics > Speakers,1,$32.00,1/25/2026,1/30/2026,$52.96,"398329909349	",$2.65,$0.00,$16.06,$2.25,$0.00,2/2/2026,Hampton – Goodwill of Central & Coastal Virginia
60123312,1/25/2026,253557222,Bose AV35 Control Console WITHOUT Cables - Functionality Not Tested,Computers & Electronics > Home Electronics,1,$51.00,1/25/2026,1/26/2026,$71.30,"398160423166	",$4.18,$0.00,$13.13,$2.99,$0.00,1/27/2026,"Goodwill Industries - Big Bend, Inc."
60123530,1/25/2026,253626127,Bose Solo TV Sound System | Power Tested,Computers & Electronics > Home Electronics > Speakers,1,$14.99,1/25/2026,1/28/2026,$34.64,"398331401344	",$1.39,$0.00,$15.26,$3.00,$0.00,2/2/2026,"Goodwill Industries of Middle Tennessee, Inc."
60123557,1/25/2026,253524303,Bose Companion 2 Computer Speakers | Tested,Computers & Electronics > Home Electronics > Speakers,1,$18.00,1/24/2026,1/29/2026,$35.16,"398321061657	",$1.63,$0.00,$12.53,$3.00,$0.00,2/2/2026,"Goodwill Industries of Middle Tennessee, Inc."
60123598,1/25/2026,253835910,Pair Of Bose 201 Speakers,Computers & Electronics > Home Electronics > Speakers,1,$31.00,1/25/2026,1/26/2026,$69.16,"398326304282	",$2.79,$0.00,$30.37,$5.00,$0.00,2/2/2026,Goodwill of Greater Washington D.C. -VA
60147185,1/27/2026,253501355,Bose Solo Soundbar II,Computers & Electronics > Home Electronics,1,$25.99,1/26/2026,1/28/2026,$40.56,"398303029585	",$2.28,$0.00,$8.80,$3.49,$0.00,2/1/2026,Goodwill Industries of Ventura and Santa Barbara Counties
60147198,1/27/2026,253663081,Bose Av35 Control Console (Model 402455) W/accessories,Computers & Electronics > Personal Electronics,1,$111.00,1/26/2026,1/27/2026,$138.94,"398342959811	",$8.60,$0.00,$19.34,$0.00,$0.00,2/2/2026,Goodwill of Greater Washington D.C. -VA
60157713,1/27/2026,253604986,Bose CineMate Series II Digital Home Theater System,Computers & Electronics > Home Electronics > Speakers,1,$34.00,1/27/2026,1/27/2026,$39.00,"PU 2/6	",$0.00,$0.00,$0.00,$5.00,$0.00,2/6/2026,Goodwill of Orange County
60162249,1/27/2026,253754941,Bose SoundDock 10 Bluetooth Digital Music System Powers On Preowned,Computers & Electronics > Personal Electronics > iPod/MP3/CD Players & Accessories,1,$107.99,1/27/2026,1/28/2026,$155.90,"490020398616	",$8.72,$0.00,$34.69,$4.50,$0.00,1/29/2026,"Goodwill Industries of SW Florida, Inc."
60162486,1/27/2026,253565656,Bose SoundDock iPod Dock Speaker w/ Power Supply - Powers On,Computers & Electronics > Home Electronics > Speakers,1,$19.99,1/27/2026,1/29/2026,$35.78,"441475654051	",$1.71,$0.00,$12.08,$2.00,$0.00,1/31/2026,Goodwill Industries of the Columbia Willamette
60169772,1/27/2026,253592929,Bose 161 Bookshelf Speakers Pair -Tested,Computers & Electronics > Home Electronics > Speakers,1,$17.00,1/27/2026,1/28/2026,$36.48,"398388692722	",$1.55,$0.00,$14.94,$2.99,$0.00,2/3/2026,Goodwill-Easter Seals MN
60171221,1/27/2026,253556466,Pair Of Bose Gemstone CineMate Speakers + Interface Cable,Computers & Electronics > Home Electronics > Speakers,1,$8.99,1/27/2026,1/30/2026,$33.07,"398394277131	",$0.87,$0.00,$20.96,$2.25,$0.00,2/3/2026,Hampton – Goodwill of Central & Coastal Virginia
60171292,1/27/2026,253623130,Bose Solo TV Black Sound System Wireless Compact Design Good Condition,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$24.99,1/27/2026,1/30/2026,$40.80,"398519729019	",$1.94,$0.00,$13.87,$0.00,$0.00,2/7/2026,MERS/Missouri Goodwill Industries
60196969,1/28/2026,253868256,Pair of BOSE 161 Bookshelf Speakers,Computers & Electronics > Home Electronics > Speakers,1,$19.99,1/28/2026,1/29/2026,$38.97,"398266547340	",$1.86,$0.00,$13.13,$3.99,$0.00,1/30/2026,"Goodwill Industries of Central North Carolina, Inc."
60196982,1/28/2026,253470289,Bose 15 Solo 2 Tv Sound System (no Power Cord),Computers & Electronics > Home Electronics > Receivers & Radios,1,$24.95,1/28/2026,1/30/2026,$37.32,"398304017007	",$1.93,$0.00,$10.44,$0.00,$0.00,2/1/2026,Goodwill San Diego and Imperial Counties
60212640,1/29/2026,253428774,Bose 161 Black Bookshelf Speaker | Tested,Computers & Electronics > Home Electronics > Speakers,1,$14.99,1/23/2026,1/29/2026,$31.59,"398368126976	",$1.39,$0.00,$12.21,$3.00,$0.00,2/3/2026,"Goodwill Industries of Middle Tennessee, Inc."
60221946,1/29/2026,253806232,Bose Wave Music Player System IV w Remote Control - Powers On,Computers & Electronics > Home Electronics,1,$257.00,1/29/2026,1/30/2026,$295.11,"398284839935	",$20.08,$0.00,$16.03,$2.00,$0.00,1/30/2026,"Goodwill Industries of the Columbia, Inc. Pasco, WA"
60250339,1/31/2026,254342673,"Bose Sound Dock Series II- Pre-Owned, Powers On",Computers & Electronics > Home Electronics > Speakers,1,$19.95,1/30/2026,1/31/2026,$50.03,"490020400881	",$1.90,$0.00,$23.68,$4.50,$0.00,2/2/2026,"Goodwill Industries of SW Florida, Inc."
60250370,1/31/2026,253665690,Psyclone Essentials Ps3 Black Axe Guitar & Rockband Guitar Controllers,Gaming Systems & Games,1,$12.95,1/30/2026,1/31/2026,$24.86,"398307554059	",$1.00,$0.00,$10.91,$0.00,$0.00,2/1/2026,Goodwill San Diego and Imperial Counties
60250577,1/31/2026,254229973,Bose Solo TV Speaker 418775 Bar Only,Computers & Electronics > Home Electronics > Speakers,1,$26.00,1/30/2026,2/2/2026,$40.86,"398389134148	",$2.23,$0.00,$9.88,$2.75,$0.00,2/3/2026,Goodwill South Central California
60250641,1/31/2026,253885427,Bose SoundDock Series III Digital Music System - No Remote - Powers On,Computers & Electronics > Home Electronics > Speakers,1,$22.01,1/30/2026,2/2/2026,$40.97,"888555376437	",$1.87,$0.00,$15.09,$2.00,$0.00,2/6/2026,Goodwill-Suncoast
60254610,1/31/2026,253703358,Bose Companion 2 Multimedia Speaker System with Power Adapter,Computers & Electronics > Home Electronics > Speakers,1,$13.25,1/31/2026,1/31/2026,$15.75,"PU 2/6	",$0.00,$0.00,$0.00,$2.50,$0.00,2/6/2026,Goodwill of Orange County
60263789,2/1/2026,254182514,Bose Companion 2 Series II Multimedia Speaker System for PC Computer Audio,Computers & Electronics > Home Electronics > Speakers,1,$12.12,1/31/2026,2/2/2026,$28.96,"398456009189	",$1.21,$0.00,$12.13,$3.50,$0.00,2/5/2026,Goodwill Columbus
60263797,2/1/2026,254083675,Bose Sound Dock 30 Pin Connector Speaker Powers On Pre-Owned,Computers & Electronics > Personal Electronics > iPod/MP3/CD Players & Accessories,1,$19.99,1/31/2026,2/5/2026,$50.07,"512273376240	",$1.90,$0.00,$23.68,$4.50,$0.00,2/6/2026,"Goodwill Industries of SW Florida, Inc."
60263802,2/1/2026,254083947,Bose AV3-2-1GS Media Center Console Not Tested Pre-Owned,Computers & Electronics > Home Electronics > CD Players,1,$19.99,1/31/2026,2/5/2026,$50.07,"512273376230	",$1.90,$0.00,$23.68,$4.50,$0.00,2/6/2026,"Goodwill Industries of SW Florida, Inc."
60263807,2/1/2026,253904685,Bose SoundDock Portable Digital Music System with Power Adapter - Powers On,Computers & Electronics > Home Electronics > Speakers,1,$19.99,1/31/2026,2/5/2026,$35.78,"441475670470	",$1.71,$0.00,$12.08,$2.00,$0.00,2/24/2026,Goodwill Industries of the Columbia Willamette
60263814,2/1/2026,253986526,"Bose Bos Music System IV, SoundTouch Pedestal and Speaker",Computers & Electronics > Home Electronics > Speakers,1,$335.00,1/31/2026,2/5/2026,$360.97,"398494215938	",$25.96,$0.00,$0.01,$0.00,$0.00,2/6/2026,Goodwill Keystone Area - Reading
60263897,2/1/2026,253962462,Bose SoundDock Portable Digital Music System For Older iPods(Powers On Untested),Computers & Electronics > Home Electronics > Speakers,1,$31.00,1/31/2026,2/5/2026,$47.69,"398565305936	",$2.56,$0.00,$12.13,$2.00,$0.00,2/9/2026,Goodwill of Southwestern Pennsylvania
60263903,2/1/2026,253896773,Bose TV Speaker Model 431974 with Remote and Power Cord,Computers & Electronics > Home Electronics > Speakers,1,$77.99,1/31/2026,2/2/2026,$84.04,"511818539605	",$6.04,$0.00,$0.01,$0.00,$0.00,2/5/2026,Goodwill of the Olympics and Rainier Region
60280601,2/2/2026,254146536,Bose/Pioneer/Altec Lansing Home Speakers (Lot of 4),Computers & Electronics > Home Electronics > Speakers,1,$23.22,2/1/2026,2/2/2026,$39.37,"398503274497	",$1.96,$0.00,$12.19,$2.00,$0.00,2/6/2026,Easterseals-Goodwill Northern Rocky Mountain -SLC
60280632,2/2/2026,253785528,Bose Speakers with Control Interface and Cables,Computers & Electronics > Home Electronics > Speakers,1,$22.00,2/1/2026,2/3/2026,$93.00,"PU 2/6	",$0.00,$0.00,$0.00,$5.00,$0.00,2/6/2026,Goodwill of Orange County
60280632,2/2/2026,253871134,Bose TV Speaker - Model 431974,Computers & Electronics > Home Electronics > Speakers,1,$66.00,1/31/2026,2/3/2026,$93.00,"PU 2/6	",$0.00,$0.00,$0.00,$5.00,$0.00,2/6/2026,Goodwill of Orange County
60280679,2/2/2026,253555605,2 Untested PS3 Fender Stratocaster Rockband Harmonix Guitar Controllers NoDongle,Gaming Systems & Games > Sony Playstation 3,1,$9.99,2/1/2026,2/4/2026,$37.61,"398678447022	",$0.94,$0.00,$24.43,$2.25,$0.00,2/12/2026,Richmond - Goodwill of Central & Coastal Virginia
60280696,2/2/2026,253555408,2 Untested PS3 Fender Stratocaster Rockband Harmonix Guitar Controllers NoDongle,Gaming Systems & Games > Sony Playstation 3,1,$9.99,2/1/2026,2/3/2026,$37.61,"398685940700	",$0.94,$0.00,$24.43,$2.25,$0.00,2/12/2026,Richmond - Goodwill of Central & Coastal Virginia
60290793,2/2/2026,253871380,BOSE Solo TV Sound System,Computers & Electronics > Home Electronics > TVs,1,$9.99,1/30/2026,2/2/2026,$28.40,"398687431554	",$0.94,$0.00,$15.22,$2.25,$0.00,2/12/2026,Richmond - Goodwill of Central & Coastal Virginia
60293255,2/2/2026,254082038,Bose 151 Environmental Speakers,Computers & Electronics > Home Electronics > Speakers,1,$101.00,2/2/2026,2/3/2026,$124.02,"398431117495	",$8.04,$0.00,$12.23,$2.75,$0.00,2/4/2026,Goodwill South Central California
60293377,2/2/2026,254003473,"Bose Speaker System Bundle - 191, Solo Soundbar II, Companion 2 Series III",Computers & Electronics > Home Electronics > Speakers,1,$90.00,2/2/2026,2/3/2026,$119.80,"441366723724	",$7.21,$0.00,$19.59,$3.00,$0.00,2/7/2026,Goodwill Industries of the Inland Northwest
