Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location,Store,inventory_sku
6/1/2026,X004V1QUJ5,B011U9G5IK,4T-3IUV-R6NI,Bose Sound Touch Series II Wireless Adapter,SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,PHX3,,00111-P-1
6/1/2026,X003U1IE91,B000V2FJAS,UC-97QD-H0XW,Bose SoundDock Portable 30-Pin iPod/iPhone Speaker Dock,DEFECTIVE,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,MCI7,,00029
6/1/2026,X00512GR4L,B001GN1IQU,00028-1,Bose SoundDock Remote - Gray,DEFECTIVE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IND8,,
6/1/2026,X00512GR4L,B001GN1IQU,00028-1,Bose SoundDock Remote - Gray,DEFECTIVE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LEX2,,
6/1/2026,X00512GR4L,B001GN1IQU,00028-1,Bose SoundDock Remote - Gray,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AGS2,,
6/1/2026,X0047RJPNB,B00N32ICIE,U3-M87O-CG8E,Bose SoundLink Color Bluetooth Speaker (Mint),CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LEX2,,00115-MI
6/1/2026,X004QL7NNR,B011IH6MPU,1780,Bose SoundTouch 130 Home Theater System - Black,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ICT2,,00107-BK
6/1/2026,X0048785DL,B07F39ZKK9,IJ-MXX9-OOF2,"Bose Surround Sound System for Home Theater, Black",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SHV1,,
6/1/2026,X0036X928P,B088KRPCQJ,CF-D4XF-E3ZS,"Bose TV Speaker - Soundbar for TV with Bluetooth and HDMI-ARC Connectivity, All-in-One Compact Soundbar, Includes Remote Control, Black",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SIL1,,00138-BK
6/1/2026,X002LWDZHV,B00021Y9NQ,VO-UAMG-Y6ZI,Bose Wave AM/FM Clock Radio - Model AWR1G1 - Graphite,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SMF6,,
6/1/2026,X0054ASSQP,B01CS07VCE,amzn.gr.C7-641O-SL4H-LfeQJajif9arVpAS-PO,Bose Wave Music System (Titanium Silver),CUSTOMER_DAMAGED,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,TUS1,,00031-SV
6/1/2026,X0049413B9,B011IH6MBO,3F-AVUX-RGWW,Bose Wave Music System IV - Espresso Black,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DET1,,00106-BK
6/1/2026,X004BHNIQ7,B011IH6MBO,B6-ARNI-JB80,Bose Wave Music System IV - Espresso Black,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DET1,,00106-BK
6/1/2026,X003VAFLQF,B011IH6N0Y,XN-LRYH-V70V,Bose Wave Music System IV - Platinum Silver,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HSV1,,00106-SV
6/1/2026,X0049Q6ZHT,B011IH6N0Y,IH-006H-ODYH,Bose Wave Music System IV - Platinum Silver,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,ALB1,,00106-SV
6/1/2026,X0054BZOX9,B078P88TQG,amzn.gr.SS-3P3U-0Q7Q-YC4Jsg_MYLS0_Dr5-PO,Bose Wave Radio AM/FM Alarm Clock,DEFECTIVE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LAS2,,00131
6/1/2026,X004O8NB0V,B011IH6MI2,1846,"Bose Wave SoundTouch Music System IV, Works with Alexa, Platinum Silver - 738031-1310",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,OAK3,,
6/1/2026,X004MURN6T,B00K72E45S,7B-HHPJ-XPV8,Bose WaveÂ® Music System III - Limited-Edition Blue,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TEB6,,
6/1/2026,X002YGI3OJ,B007ZCCRBG,WZ-BX30-PNCN,Bose WaveÂ® Music System III - Platinum White,DEFECTIVE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TUS1,,
6/1/2026,X0038RTK09,B007ZC99Q2,KA-E10M-X9K5,Bose WaveÂ® Music System III - Titanium Silver,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,MCE1,,
6/1/2026,X004L97MA3,B007ZDES9Y,7U-KOU9-NOSD,Bose WaveÂ® Radio III -Platinum White,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,ALB1,,00065-WH
6/1/2026,X003REVJ3T,B002KY2OU8,90-VMBR-JS2E,BoseÂ® CineMateÂ® Series II Digital Home Theater Speaker System,DEFECTIVE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SDF6,,00044
6/1/2026,X004OHJR0Z,B001BNFOYW,04994-N,"BoseÂ® WaveÂ® Music System Multi-CD Changer, Titanium Silver",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DET1,,00031-P-1-SV
6/1/2026,X004MBN5EH,B000XYJ4PU,8E-DPY2-HPDX,Guitar Hero III Legends of Rock Wired Bundle -Xbox 360,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,STL3,,
6/1/2026,X004MSG6FF,B00VEPKC7Q,X0-0OMJ-XOER,Guitar Hero Live - Xbox One,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BNA2,,
6/1/2026,X004MSG6FF,B00VEPKC7Q,X0-0OMJ-XOER,Guitar Hero Live - Xbox One,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,MCO2,,
6/1/2026,X004NXDAW1,B001Q9VSHS,04986-N,PS2 Guitar Hero World Tour - Stand Alone Guitar,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PHX5,,
6/1/2026,X004NDQY29,B001ABN834,VN-4SNW-3UTQ,PS3 Guitar Hero World Tour Guitar Kit,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PHX5,,
6/1/2026,X004UQ7XL5,B0F6WHQJNX,01900-N,Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black,CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IND8,,00325-BK
6/1/2026,X004UQ7XL5,B0F6WHQJNX,01900-N,Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black,SELLABLE,2,0,0,-1,0,0,0,0,0,0,0,0,1,0,AKC1,,00325-BK
6/1/2026,X004UQ7XL5,B0F6WHQJNX,01900-N,Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,OXR1,,00325-BK
6/1/2026,X004O7IZYT,B0F6WHTM2F,03783-N,Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Silver,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,TEB6,,
6/1/2026,X0050L0OXD,B0FTB63DVY,00118-LN,Replacement Bose Acoustimass Double Cube Speaker (White),SELLABLE,6,0,0,0,0,0,0,0,0,0,0,0,6,0,FWA6,,00049-WH
6/1/2026,X00508B8R7,B0D6LWQ74M,01357-F,Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DET2,,00180-P-1
6/1/2026,X004O7IZ8F,B0D6LWQ74M,01357-NF,Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DET2,,00180-P-1
6/1/2026,X004O7IZ8F,B0D6LWQ74M,01357-NF,Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,GSO1,,00180-P-1
6/1/2026,X004O7IZ8F,B0D6LWQ74M,01357-NF,Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,ILG1,,00180-P-1
6/1/2026,X004MW3VJP,B0F3QG1GK4,9O-THPJ-FZXT,Replacement Bose AV 520 Control Console for Bose Cinemate 520/ Soundtouch 520,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SYR1,,00083-P-1-U
6/1/2026,X004N7FYO9,B0F3QG1GK4,01355-N,Replacement Bose AV 520 Control Console for Bose Cinemate 520/ Soundtouch 520,SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,ORF4,,00083-P-1-U
6/1/2026,X004N7FYO9,B0F3QG1GK4,01355-N,Replacement Bose AV 520 Control Console for Bose Cinemate 520/ Soundtouch 520,SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,SAN3,,00083-P-1-U
6/1/2026,X004W9BC4T,B0F3Q9RFC6,MY-F73I-ITWM,Replacement Bose Control Console for Bose Lifestyle Soundtouch 535/525/235/135 Series I/II/III,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,CHO1,,00189-P-1
6/1/2026,X004W9BC4T,B0F3Q9RFC6,MY-F73I-ITWM,Replacement Bose Control Console for Bose Lifestyle Soundtouch 535/525/235/135 Series I/II/III,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,TPA3,,00189-P-1
6/1/2026,X0051Y1OXX,B0D7KFBH39,amzn.gr.D6-NL91-DTCE-bq65YZcBYJMIabX0-LN,Replacement Bose Control Console for Bose Lifestyle V25 V35 135,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SWF1,,00182-P-1
6/1/2026,X004ZURCO9,B0F6VZHW91,149,Replacement Bose Remote Control 321 GSX III II,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ORH3,,00048-P-1
6/1/2026,X004WRCHY5,B0F8KCZY2K,NV-E7S6-TME8,Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BDL3,,00049-P-1-WH
6/1/2026,X004WRCHY5,B0F8KCZY2K,NV-E7S6-TME8,Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ELP1,,00049-P-1-WH
6/1/2026,X004WRCHY5,B0F8KCZY2K,NV-E7S6-TME8,Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,SMF1,,00049-P-1-WH
6/1/2026,X004WRCHY5,B0F8KCZY2K,NV-E7S6-TME8,Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,TLH2,,00049-P-1-WH
6/1/2026,X004WO87Q5,B0F8GQNNTT,ZU-2VE4-E3YF,Replacement Bose Single Cube Speaker for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BTR1,,00049-P-1-WH
6/1/2026,X004WO87Q5,B0F8GQNNTT,ZU-2VE4-E3YF,Replacement Bose Single Cube Speaker for Bose Lifestyle Acoustimass Home Theater Speaker System,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TLH2,,00049-P-1-WH
6/1/2026,X004FCE7HH,B0D7KGQSXL,BP-4ZFL-OIIN,Replacement Control Console AV20 Unit for Lifestyle T20 T10 System,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SYR1,,
6/1/2026,X0051OUN21,B0FZMFQLKD,05057-N-F,"Replacement Remote Control for Bose Cinemate Soundtouch 120, 130, and 520 Systems",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CAE1,,
6/1/2026,X0051OUN21,B0FZMFQLKD,05057-N-F,"Replacement Remote Control for Bose Cinemate Soundtouch 120, 130, and 520 Systems",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IGQ1,,
6/1/2026,X0051OUN21,B0FZMFQLKD,05057-N-F,"Replacement Remote Control for Bose Cinemate Soundtouch 120, 130, and 520 Systems",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PAE2,,
6/1/2026,X0051OUN21,B0FZMFQLKD,05057-N-F,"Replacement Remote Control for Bose Cinemate Soundtouch 120, 130, and 520 Systems",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,RDG1,,
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DAL3,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,FTW6,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,LGA9,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LUK2,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ORD5,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,OXR1,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,5,2,0,0,0,0,-1,0,0,0,0,0,4,0,PSP1,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0,SBD1,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SBD6,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SLC1,,00152-P-1
6/1/2026,X0044F73MV,B0C872MDMR,JG-LHIT-0ADH,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SMF1,,00152-P-1
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",CUSTOMER_DAMAGED,2,0,0,0,0,0,0,0,0,0,0,0,2,0,CHA1,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,AFW1,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CMH4,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DAL2,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DEN3,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,FTW6,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,MDW4,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,MLI1,,00149
6/1/2026,X004A0205P,B0C7B348MY,5U-TN1A-Q7PR,"USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,OMA2,,00149
